"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"T01001_001N"," !!Total"
"T01001_001NA","Annotation of  !!Total"
"POPGROUP","Race/Ethnic Group"
"POPGROUP_LABEL","Population Groups"
